Drug Name,Sheet Name,Match Type/Score,Matched Product
HOT WATER BOTTLE + COVER 2LT,Warehouse 4,55.55555556,Chocho Tea
LEVON 2 POSTPILL,Warehouse 2 Syrup&Tab,59.25925926,Lexofen  Plus Tabs. 20's
FOSMOL (FOSFOMYCIN TROMETAMOL) 3000MG GRANULES,Warehouse 2 Syrup&Tab,59.57446809,Entramol 500mg Tabs 12's
LYDIA DAILY CONTRACEPTIVE PILL 3X28'S,Pzifer,60,Ladinas Tabs
EKURO BEWU,Pzifer,62.5,Neurobion Tabs 20'S
LUBRIMAX JELLY 50G (ALOE),Pzifer,63.41463415,Kamagra Jelly 50Mg 5's
LUBRIMAX JELLY 30G (CLASSIC),Pzifer,63.63636364,NBF Gel 30g
LUBRIMAX JELLY 30G (ALOE),Pzifer,63.63636364,NBF Gel 30g
JOHNSON'S BABY WIPES 72'S,Warehouse 4,63.63636364,LINKOF BABY
ACCU-CHEK ACTIVE TEST STRIPS / KIT (PROMO) 3'S,UK warehouse ,64,Accu check instants strip
BOX OF GLOVES(NON-POWDERED) MEDIUM -ECOMAX 100'S,Warehouse 3,64.28571429,Examination Gloves Powdered 
ROYAL SKIN TONER 70G,Warehouse 4,64.51612903,Royal Noni Juice 1ltre
POLAR ABOVE KNEE ELASTIC STOCKING MEDIUM,Tena Warehouse ,64.51612903,Cocoon pant medium
OMBS2257 OLSENMARK DIGITAL PERSONAL SCALE,Warehouse 2 Syrup&Tab,64.51612903,Zipferon Capsules
ARGESUN 120MG INJ,Pzifer,64.70588235,Rocephine 250mg Inj. IM
ROUSHUN NATURAL COLLAGEN BEAUTY CRM 75G,UK warehouse ,66.66666667,Betnovate Cream 15g
RAID MULTI PURPOSE SPRAY (FLYING INSECT KILLER) 300ML (BLACK),Pzifer,66.66666667,Dragon Spray
PO0076-POLAR SOFT COLLAR XLARGE,Tena Warehouse ,66.66666667,Soft Collar (0076)
PO0076-POLAR SOFT COLLAR MEDIUM,Tena Warehouse ,66.66666667,Soft Collar (0076)
PO003-POLAR CLOSE KNEE SUPPORT SMALL,Tena Warehouse ,66.66666667,Knee Support(0021)
PO003-POLAR CLOSE KNEE SUPPORT MEDIUM,Tena Warehouse ,66.66666667,Knee Support(0021)
PO003-POLAR CLOSE KNEE SUPPORT LARGE,Tena Warehouse ,66.66666667,Knee Support(0021)
PO0011-POLAR CERVICAL COLLAR(HARD WITHOUT CHIN) MEDIUM,Tena Warehouse ,66.66666667,Hard Collar with Chin (074)
PLASTER ROLLS 4''(10CMX5M),GSK Warehouse,66.66666667,Plaster strips 100's
PLASTER ROLLS 3'' (7.5CMX5M),GSK Warehouse,66.66666667,Plaster strips 100's
PLASTER ROLLS 2''(5CMX5M),GSK Warehouse,66.66666667,Plaster strips 100's
Overpayment,UK warehouse ,66.66666667,Verapamil 40mg Tabs
NOVIRAX (ACYCLOVIR) 5% W/W CRM 5G,UK warehouse ,66.66666667,E45 Cream 350g
MORGANS POMADE 100G,Pzifer,66.66666667,Uperio 100mg
MADOPAR (LEVODOPA +BENSERAZIDE) 200MG/50MG 100'S,UK warehouse ,66.66666667,Clomid 50mg  10's
HUMULIN M3 30/70 100IU/ML CATRIDGE 5'S,Warehouse 4,66.66666667,NCP 100ml
HUMULIN  NPH 100IU/ML CARTRIDGE,Warehouse 4,66.66666667,NCP 100ml
GLADE AUTO SPRAY TWIN REFILL 269ML - OCEAN ADVENTURE,Pzifer,66.66666667,Dragon Spray
GAMOK INJ 600MG (AMOXIL CLAVUNATE),Nacortic Warehouse,66.66666667,Tramadol Inj. 50mg
GAMOK INJ 1.2G (AMOXIL CLAVUNATE),Pzifer,66.66666667,Amoksiklav Inj 1.2g Singles
DUREX PLAY 50ML - TINGLING,Pzifer,66.66666667,Durex lub l/s
DUREX PLAY   FEEL 50ML,Warehouse 4,66.66666667,Honey 250ml
BOX OF GLOVES(NON-POWDERED) LARGE -ECOMAX 100'S,Pzifer,66.66666667,Galfer Caps 100's
B. F INTERDENTAL FLOSSERS 50'S,Warehouse 3,66.66666667,Zental susp 
ARGESUN 30MG INJ,Warehouse 3,66.66666667,Artesunate injection 120mg / Argesun 
ACCU-CHEK SOFTCLIX LANCET 200'S,Warehouse 2 Syrup&Tab,66.66666667,NCP 200ml
ACCU-CHEK SAFE-T-PRO UNO LANCET 200'S,Warehouse 2 Syrup&Tab,66.66666667,NCP 200ml
ACCU-CHEK ACTIVE MONITORING KIT,Warehouse 4,66.66666667,Ancigel O
BENYLIN MUCUS MAX HONEY & LEMON,UK warehouse ,68.18181818,Benylin Mucus Cough Syr 150ml
CORSODYL M/W 300ML MINT,UK warehouse ,68.29268293,Chlorhexidine M/w 300ml
PO0076-POLAR SOFT COLLAR SMALL,Tena Warehouse ,68.57142857,Soft Collar (0076)
PO0076-POLAR SOFT COLLAR LARGE,Tena Warehouse ,68.57142857,Soft Collar (0076)
"PLASTER ROLLS 1""(2.5CMX5M)",GSK Warehouse,68.57142857,Plaster strips 100's
BG- GLUTAMINE PLUS 20'S,Warehouse 2 Syrup&Tab,68.57142857,Cirotamin Caps 30's
SYRINGE & NEEDLE 2ML,Tena Warehouse ,68.75,Disposable syringes 2ml
